iPhone 16,Apple Store,Excellent,10,1199.99,iphone_16.png,1199.99,1199.99,1199.99
MacBook Pro,Apple Store,Excellent,10,2399.99,macbookpro.png,2399.99,2399.99,2399.99
Galaxy S23,Samsung Store,Excellent,10,999.99,galaxys23.png,999.99,999.99,999.99
Dell XPS 15,Dell Store,Excellent,10,1299.99,dellxps15.png,1299.99,1199.99,1299.99
iPad Pro,Apple Store,Excellent,10,799.99,ipadpro.png,799.99,799.99,799.99
Surface Laptop,Microsoft Store,Excellent,10,1199.99,surfacelaptop.png,1199.99,1199.99,1199.99
PlayStation 5,GameStop,Excellent,10,499.99,ps5.png,549.99,529.99,499.99
Xbox Series X,GameStop,Excellent,10,499.99,xbox_series_x.png,549.99,529.99,499.99
Nintendo Switch,Best Buy,Excellent,10,299.99,nintendo_switch.png,329.99,319.99,299.99
Google Pixel 8,Google Store,Ok,10,699.00,google_pixel_8.png,749.00,729.00,699.00
HP Envy 13,HP Store,Ok,10,859.99,hp_envy_13.png,889.99,879.99,859.99
Lenovo ThinkPad X1 Carbon,Lenovo Store,Excellent,10,1399.99,lenovo_thinkpad_x1_carbon.png,1499.99,1449.99,1399.99
Bose QuietComfort 35 II,Bose Store,Excellent,10,299.00,qc35_ii.png,329.00,319.00,299.00
Anker Soundcore Life Q20,Amazon,Poor,10,59.99,anker_life_q20.png,69.99,64.99,59.99
Fitbit Versa 3,Fitbit,Ok,10,229.95,fitbit_versa3.png,249.95,239.95,229.95
iPhone 16,Best Buy,Excellent,10,1149.99,iphone_16.png,1149.99,1099.99,1149.99




